DONG,HOUR,AMT,CNT
고등동,1,24659.103686635946,5.080645161290323
고등동,2,40297.38138138138,8.36936936936937
고등동,3,235686.49178743962,41.507246376811594
고등동,4,397834.39806763286,56.1487922705314
고등동,5,563351.8763285024,67.56425120772947
고등동,6,531332.8270531402,60.55265700483092
고등동,7,389895.8038647343,43.72367149758454
고등동,8,385667.08502415457,39.93429951690821
고등동,9,157483.32751937985,15.74031007751938
고등동,10,26713.997389033942,4.202349869451697
매교동,1,42120.93688362919,9.014792899408285
매교동,2,106525.23546511628,25.122093023255815
매교동,3,363452.7729468599,61.84347826086957
매교동,4,744754.9652173913,97.74975845410628
매교동,5,852361.4966183575,113.51787439613527
매교동,6,723613.5236714976,95.12270531400966
매교동,7,497117.27149758453,71.30434782608695
매교동,8,391385.4579710145,61.7719806763285
매교동,9,215721.46763285025,33.70531400966183
매교동,10,52720.56842105263,6.668421052631579
매산동,1,716907.2434782608,38.41642512077295
매산동,2,602948.0743961353,140.975845410628
매산동,3,1610169.7700483091,304.5971014492754
매산동,4,3829954.0289855073,438.43961352657004
매산동,5,6729366.057971015,656.1314009661836
매산동,6,5950314.898550725,601.9681159420289
매산동,7,5285686.464734299,510.28599033816425
매산동,8,6206327.077294686,472.9980676328502
매산동,9,3776948.268599034,232.6550724637681
매산동,10,740842.6338164251,33.772946859903385
우만1동,1,51581.27701375246,13.575638506876228
우만1동,2,242068.93816425122,51.15458937198068
우만1동,3,510095.16811594204,93.3623188405797
우만1동,4,1175272.2512077296,161.26376811594204
우만1동,5,1215964.3574879228,161.55555555555554
우만1동,6,888408.6869565217,121.99806763285024
우만1동,7,637742.7429951691,90.51014492753623
우만1동,8,551292.8338164252,79.19420289855073
우만1동,9,194227.80966183575,35.98743961352657
우만1동,10,31352.496913580246,6.989711934156379
우만2동,1,82617.8325266215,19.26911907066796
우만2동,2,270596.5797101449,62.114975845410626
우만2동,3,612980.5565217391,138.9111111111111
우만2동,4,1584100.6763285024,234.91497584541062
우만2동,5,2044445.111111111,250.9526570048309
우만2동,6,1369495.4830917874,171.33140096618357
우만2동,7,1273019.8415458938,149.79806763285023
우만2동,8,1778514.124637681,152.10531400966184
우만2동,9,780027.5111111111,74.98550724637681
우만2동,10,74031.96108949416,11.978599221789883
인계동,1,5057292.055072464,169.93429951690823
인계동,2,1609839.566183575,272.17391304347825
인계동,3,3466457.51884058,562.4289855072464
인계동,4,8103587.548792271,963.1748792270531
인계동,5,9772906.849275362,983.4869565217391
인계동,6,7106267.265700483,745.3101449275363
인계동,7,6405384.902415459,605.383574879227
인계동,8,8785238.2647343,622.4154589371981
인계동,9,6916680.550724638,414.3719806763285
인계동,10,2261225.1739130435,98.88309178743961
지동,1,25984.80046674446,5.571761960326721
지동,2,410137.31312127237,55.39960238568588
지동,3,532268.5342995169,78.18840579710145
지동,4,816440.9690821256,98.08309178743961
지동,5,917293.5487922705,105.69855072463768
지동,6,669082.5574879227,72.70628019323671
지동,7,511783.0444444445,39.36135265700483
지동,8,458128.1758454106,30.051207729468597
지동,9,111918.27657480315,10.898622047244094
지동,10,19446.69120287253,3.177737881508079
행궁동,1,99189.36228287841,7.813895781637717
행궁동,2,217158.41352657005,44.89468599033816
행궁동,3,1028413.8608695652,116.1903381642512
행궁동,4,4681243.152657005,372.2405797101449
행궁동,5,8891094.771980677,656.8057971014492
행궁동,6,8003936.828019324,619.9594202898551
행궁동,7,5216483.784541063,399.94685990338166
행궁동,8,4595547.898550725,335.83671497584544
행궁동,9,1286744.2154589372,103.71787439613527
행궁동,10,127921.08600917431,8.431192660550458
화서1동,1,42594.11157024794,7.341942148760331
화서1동,2,127107.59710144928,32.18260869565217
화서1동,3,425954.3632850241,90.28212560386473
화서1동,4,717960.2164251208,125.9719806763285
화서1동,5,889360.142995169,145.38454106280193
화서1동,6,723543.2637681159,117.55748792270532
화서1동,7,573236.4937198068,88.21932367149759
화서1동,8,637454.0695652174,91.01256038647342
화서1동,9,312991.98647342995,43.274396135265704
화서1동,10,34352.943396226416,6.050314465408805
화서2동,1,45149.30980392157,10.465686274509803
화서2동,2,194095.58260869567,47.43671497584541
화서2동,3,661638.0338164251,132.07149758454105
화서2동,4,1248803.9826086957,180.0135265700483
화서2동,5,1695446.025120773,215.32753623188407
화서2동,6,1283036.1826086957,174.70434782608694
화서2동,7,922848.934299517,114.93333333333334
화서2동,8,1143688.8019323673,108.98550724637681
화서2동,9,484698.7429951691,49.84057971014493
화서2동,10,52207.60408163265,7.078571428571428
