HOUR,N,AMT_MAE,AMT_RMSE,AMT_R2,AMT_MAPE(%),CNT_MAE,CNT_RMSE,CNT_R2,CNT_MAPE(%),TIME(s)
01,"42,419","737,558","1,905,233",0.9289,269.3,12.31,50.38,0.9401,53.3,4.0
02,"42,498","226,618","702,378",0.5387,182.9,6.64,10.97,0.9257,47.7,3.6
03,"44,644","578,750","1,967,183",0.3954,133.9,13.09,21.35,0.9115,37.0,3.6
04,"45,451","1,500,465","4,739,025",0.8315,81.0,38.09,66.77,0.9531,29.0,3.7
05,"45,510","1,805,790","5,512,849",0.8622,72.1,34.55,80.82,0.9314,24.0,3.6
06,"45,501","1,529,976","5,976,846",0.8379,94.5,28.37,82.07,0.9182,28.7,3.8
07,"45,516","1,630,801","6,455,259",0.8125,85.1,32.20,74.99,0.9323,25.9,4.0
08,"45,439","2,112,780","6,157,707",0.8469,138.2,29.83,67.22,0.9464,27.4,3.7
09,"44,986","1,134,740","2,559,689",0.8992,191.2,15.89,38.25,0.9491,33.5,4.3
10,"41,559","462,158","1,140,712",0.8186,229.7,6.73,17.00,0.9207,49.7,3.4
